name	category	source_db_name	source_db_version
PPP2R1A	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RET	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RBM15	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PAX7	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PBRM1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PSIP1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PTCH1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PBX1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RAP1GDS1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PIK3CG	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PMS1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PRDM16	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PIK3CA	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PIK3R2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RHOH	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
POT1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PPARG	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PDCD1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
POLE	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PCM1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PICALM	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PMS2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
REL	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PHOX2B	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RAF1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RANBP17	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PRKAR1A	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RECQL4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PRKDC	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RABEP1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PDGFB	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PDCD1LG2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PRDM1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PML	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RAD21	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PTPN11	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PDGFRA	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PRKCB	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PRRX1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PLAG1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PIK3R1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PTEN	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PDE4DIP	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RB1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PCSK7	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RALGDS	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
PAX8	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
POU5F1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
STAG2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RICTOR	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
STK11	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SDHC	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SMARCB1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RPTOR	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SBDS	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RPL22	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SUFU	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SOCS1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SH2B3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SRSF3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SDC4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
STIL	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RNF43	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SOX10	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
STAT3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RUNX1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RMI2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SMO	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SMARCA4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
6-Sep	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SNX29	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
5-Sep	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SRGAP3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SRC	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TAL2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SDHAF2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SSX1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SDHD	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SH3GL1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SOX2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SDHB	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SMARCE1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SET	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SLC45A3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RUNX1T1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RSPO3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SRSF2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
ROS1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RNF213	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SMAD2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RSPO2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SUZ12	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SETBP1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
RPN1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
SMAD4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
WT1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
WIF1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
ZNF521	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TSC2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TCEA1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TLX3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TRIP11	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
ZNF703	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
THADA	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TGFBR2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TET2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TTL	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TLX1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TPM3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
ZRSR2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TRAF7	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
ZNF384	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TFE3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TPM4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
WISP3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
VEGFA	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TPR	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
XPA	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
ZNF331	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TCF3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TSC1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TERT	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
USP6	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
VHL	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
WRN	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
WWTR1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TCL1A	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TMPRSS2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
XPO1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TFPT	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TSHR	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
VTI1A	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TFG	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
THRAP3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
YWHAE	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TET1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TFRC	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
U2AF1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TRIM27	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
WAS	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
ZBTB16	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
TRIM33	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	5-Jun-23
HDGFL3	GROWTH FACTOR	GO	5-Jun-23
VEGFC	GROWTH FACTOR	GO	5-Jun-23
EPGN	GROWTH FACTOR	GO	5-Jun-23
ENDOU	GROWTH FACTOR	GO	5-Jun-23
FBN1	HORMONE ACTIVITY	GO	5-Jun-23
ADM	HORMONE ACTIVITY	GO	5-Jun-23
CCK	HORMONE ACTIVITY	GO	5-Jun-23
INPP5E	ENZYME	HumanProteinAtlas	19.3
VIP	HORMONE ACTIVITY	GO	5-Jun-23
IVD	ENZYME	HumanProteinAtlas	19.3
TSHB	HORMONE ACTIVITY	GO	5-Jun-23
LGR6	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
LPAR3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
LTB4R2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MAS1L	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MC3R	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MC5R	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MCHR2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MRGPRE	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MRGPRF	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MRGPRG	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MTNR1A	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
LPAR2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
LPAR4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
LPAR5	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
LPHN1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
LPHN2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
LPHN3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MAS1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MC2R	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MC4R	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MLNR	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MRGPRX1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MRGPRX3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
C10ORF90	ENZYME	Pharos	5-Jun-23
ACE2	TRANSPORTER	Pharos	5-Jun-23
ACE2	ENZYME	Pharos	5-Jun-23
CORIN	ENZYME	Pharos	5-Jun-23
UBE2O	ENZYME	Pharos	5-Jun-23
GBE1	ENZYME	Pharos	5-Jun-23
ACE	ENZYME	Pharos	5-Jun-23
APOBEC2	ENZYME	Pharos	5-Jun-23
CABLES1	KINASE	Pharos	5-Jun-23
CABLES1	ENZYME	Pharos	5-Jun-23
CYP11A1	ENZYME	Pharos	5-Jun-23
APOBEC3B	ENZYME	Pharos	5-Jun-23
APOBEC3C	ENZYME	Pharos	5-Jun-23
APOBEC3H	ENZYME	Pharos	5-Jun-23
AASDH	ENZYME	Pharos	5-Jun-23
APOBEC3A	ENZYME	Pharos	5-Jun-23
APOBEC3D	ENZYME	Pharos	5-Jun-23
APOBEC3G	ENZYME	Pharos	5-Jun-23
IDE	ENZYME	Pharos	5-Jun-23
DBR1	ENZYME	Pharos	5-Jun-23
RNGTT	ENZYME	Pharos	5-Jun-23
ME2	ENZYME	Pharos	5-Jun-23
UBA3	ENZYME	Pharos	5-Jun-23
UBE2F	ENZYME	Pharos	5-Jun-23
EHHADH	ENZYME	Pharos	5-Jun-23
UBE2NL	ENZYME	Pharos	5-Jun-23
ECEL1	ENZYME	Pharos	5-Jun-23
SUMF1	ENZYME	Pharos	5-Jun-23
ISCU	ENZYME	Pharos	5-Jun-23
DCP1B	ENZYME	Pharos	5-Jun-23
ME1	ENZYME	Pharos	5-Jun-23
NAE1	ENZYME	Pharos	5-Jun-23
UBE2M	ENZYME	Pharos	5-Jun-23
HSD17B4	ENZYME	Pharos	5-Jun-23
APOBEC4	ENZYME	Pharos	5-Jun-23
UBA2	ENZYME	Pharos	5-Jun-23
UBE2I	ENZYME	Pharos	5-Jun-23
NUDT16	ENZYME	Pharos	5-Jun-23
UBE2B	ENZYME	Pharos	5-Jun-23
UBE2D1	TRANSCRIPTION FACTOR	Pharos	5-Jun-23
UBE2D1	ENZYME	Pharos	5-Jun-23
UBE2D4	ENZYME	Pharos	5-Jun-23
UBE2E1	ENZYME	Pharos	5-Jun-23
UBE2H	ENZYME	Pharos	5-Jun-23
UBE2J1	ENZYME	Pharos	5-Jun-23
UBE2J2	ENZYME	Pharos	5-Jun-23
CDC34	KINASE	Pharos	5-Jun-23
CDC34	ENZYME	Pharos	5-Jun-23
UBE2R2	KINASE	Pharos	5-Jun-23
UBE2R2	ENZYME	Pharos	5-Jun-23
UBE2S	ENZYME	Pharos	5-Jun-23
UEVLD	ENZYME	Pharos	5-Jun-23
UBE2Z	ENZYME	Pharos	5-Jun-23
UBE2Q2L	ENZYME	Pharos	5-Jun-23
SAE1	ENZYME	Pharos	5-Jun-23
TRMT13	ENZYME	Pharos	5-Jun-23
UBE2A	ENZYME	Pharos	5-Jun-23
UBE2D3	ENZYME	Pharos	5-Jun-23
UBE2E2	ENZYME	Pharos	5-Jun-23
UBE2E3	ENZYME	Pharos	5-Jun-23
UBE2K	ENZYME	Pharos	5-Jun-23
UBE2L5	ENZYME	Pharos	5-Jun-23
UBE2N	ENZYME	Pharos	5-Jun-23
UBE2Q2	ENZYME	Pharos	5-Jun-23
UBE2T	ENZYME	Pharos	5-Jun-23
UBE2U	ENZYME	Pharos	5-Jun-23
UBE2W	ENZYME	Pharos	5-Jun-23
UBE2QL1	ENZYME	Pharos	5-Jun-23
UFC1	ENZYME	Pharos	5-Jun-23
UBA5	ENZYME	Pharos	5-Jun-23
ATG7	ENZYME	Pharos	5-Jun-23
ATG10	ENZYME	Pharos	5-Jun-23
UBE2L6	ENZYME	Pharos	5-Jun-23
HSD3B2	ENZYME	Pharos	5-Jun-23
PFKFB4	KINASE	Pharos	5-Jun-23
PFKFB4	ENZYME	Pharos	5-Jun-23
ACACB	ENZYME	Pharos	5-Jun-23
HERVK_113	ENZYME	Pharos	5-Jun-23
UBA6	ENZYME	Pharos	5-Jun-23
ATG3	ENZYME	Pharos	5-Jun-23
PFKFB1	KINASE	Pharos	5-Jun-23
PFKFB1	ENZYME	Pharos	5-Jun-23
PFKFB2	KINASE	Pharos	5-Jun-23
PFKFB2	ENZYME	Pharos	5-Jun-23
PFKFB3	KINASE	Pharos	5-Jun-23
PFKFB3	ENZYME	Pharos	5-Jun-23
ALKBH8	ENZYME	Pharos	5-Jun-23
PFKL	KINASE	Pharos	5-Jun-23
PFKL	ENZYME	Pharos	5-Jun-23
PFKM	KINASE	Pharos	5-Jun-23
PFKM	ENZYME	Pharos	5-Jun-23
NDST1	ENZYME	Pharos	5-Jun-23
NDST2	ENZYME	Pharos	5-Jun-23
NDST4	ENZYME	Pharos	5-Jun-23
PNKP	KINASE	Pharos	5-Jun-23
PNKP	ENZYME	Pharos	5-Jun-23
ATIC	ENZYME	Pharos	5-Jun-23
GNE	KINASE	Pharos	5-Jun-23
GNE	ENZYME	Pharos	5-Jun-23
CAD	KINASE	Pharos	5-Jun-23
CAD	ENZYME	Pharos	5-Jun-23
CAMK1	KINASE	Pharos	5-Jun-23
CAMK1	ENZYME	Pharos	5-Jun-23
CAMK1G	KINASE	Pharos	5-Jun-23
CAMK1G	TRANSCRIPTION FACTOR	Pharos	5-Jun-23
CAMK1G	ENZYME	Pharos	5-Jun-23
PDE5A	ENZYME	Pharos	5-Jun-23
CBS	ENZYME	Pharos	5-Jun-23
ALDH18A1	KINASE	Pharos	5-Jun-23
ALDH18A1	ENZYME	Pharos	5-Jun-23
ZRANB3	ENZYME	Pharos	5-Jun-23
DNA2	ENZYME	Pharos	5-Jun-23
PDE11A	ENZYME	Pharos	5-Jun-23
ERVK-18	ENZYME	Pharos	5-Jun-23
AASS	ENZYME	Pharos	5-Jun-23
PPAT	ENZYME	Pharos	5-Jun-23
PFKP	KINASE	Pharos	5-Jun-23
PFKP	ENZYME	Pharos	5-Jun-23
UPB1	ENZYME	Pharos	5-Jun-23
PAPSS2	KINASE	Pharos	5-Jun-23
PAPSS2	ENZYME	Pharos	5-Jun-23
COASY	KINASE	Pharos	5-Jun-23
COASY	ENZYME	Pharos	5-Jun-23
NDST3	ENZYME	Pharos	5-Jun-23
HLCS	ENZYME	Pharos	5-Jun-23
CAMK1D	KINASE	Pharos	5-Jun-23
CAMK1D	TRANSCRIPTION FACTOR	Pharos	5-Jun-23
CAMK1D	ENZYME	Pharos	5-Jun-23
PRKG1	KINASE	Pharos	5-Jun-23
PRKG1	ENZYME	Pharos	5-Jun-23
NT5C2	ENZYME	Pharos	5-Jun-23
BDH1	ENZYME	Pharos	5-Jun-23
SAMHD1	KINASE	Pharos	5-Jun-23
SAMHD1	ENZYME	Pharos	5-Jun-23
EEF1AKMT4-ECE2	ENZYME	Pharos	5-Jun-23
ERVK-11	ENZYME	Pharos	5-Jun-23
ERVK-8	ENZYME	Pharos	5-Jun-23
ERVK-9	ENZYME	Pharos	5-Jun-23
NEIL1	ENZYME	Pharos	5-Jun-23
NEIL3	ENZYME	Pharos	5-Jun-23
FASN	ENZYME	Pharos	5-Jun-23
FTCD	ENZYME	Pharos	5-Jun-23
FBP1	ENZYME	Pharos	5-Jun-23
GPHN	ENZYME	Pharos	5-Jun-23
FOLH1	ENZYME	Pharos	5-Jun-23
FBP2	ENZYME	Pharos	5-Jun-23
TSTA3	ENZYME	Pharos	5-Jun-23
GCK	KINASE	Pharos	5-Jun-23
GCK	ENZYME	Pharos	5-Jun-23
GYS1	ENZYME	Pharos	5-Jun-23
PYGM	ENZYME	Pharos	5-Jun-23
HK1	KINASE	Pharos	5-Jun-23
HK1	ENZYME	Pharos	5-Jun-23
HK3	KINASE	Pharos	5-Jun-23
HK3	ENZYME	Pharos	5-Jun-23
LCT	ENZYME	Pharos	5-Jun-23
LARGE2	ENZYME	Pharos	5-Jun-23
LYZ	ENZYME	Pharos	5-Jun-23
MGAM	ENZYME	Pharos	5-Jun-23
MTHFR	ENZYME	Pharos	5-Jun-23
NAALADL1	ENZYME	Pharos	5-Jun-23
MTHFD2L	ENZYME	Pharos	5-Jun-23
ALG13	ENZYME	Pharos	5-Jun-23
FOLH1B	ENZYME	Pharos	5-Jun-23
SRR	ENZYME	Pharos	5-Jun-23
PAK1	KINASE	Pharos	5-Jun-23
PAK1	ENZYME	Pharos	5-Jun-23
GYS2	ENZYME	Pharos	5-Jun-23
PYGB	ENZYME	Pharos	5-Jun-23
HLTF	TRANSCRIPTION FACTOR	Pharos	5-Jun-23
HLTF	ENZYME	Pharos	5-Jun-23
HK2	KINASE	Pharos	5-Jun-23
HK2	ENZYME	Pharos	5-Jun-23
LARGE1	ENZYME	Pharos	5-Jun-23
PLOD3	ENZYME	Pharos	5-Jun-23
PAICS	ENZYME	Pharos	5-Jun-23
OGG1	ENZYME	Pharos	5-Jun-23
PAM	ENZYME	Pharos	5-Jun-23
PRDX6	ENZYME	Pharos	5-Jun-23
PAH	ENZYME	Pharos	5-Jun-23
PKLR	KINASE	Pharos	5-Jun-23
PKLR	ENZYME	Pharos	5-Jun-23
RRM1	ENZYME	Pharos	5-Jun-23
PAK2	KINASE	Pharos	5-Jun-23
PAK2	ENZYME	Pharos	5-Jun-23
ERN 1.00	KINASE	Pharos	5-Jun-23
ERN 1.00	TRANSCRIPTION FACTOR	Pharos	5-Jun-23
